created_at,text,is_kecelakaan
Thu Jul 03 17:36:41 +0000 2025,"Halo min, mau berbagi cerita supaya teman2 lain yg sedang berlibur di Yogya bisa berhati2. Hari ini kami sekeluarga singgah di SPBU Jl. Kaliurang untuk mampir sholat di musholahnya. Tiba2 ada orang asing berperawakan orang (t) masuk ke salah satu mobil rombongan kami dan langsung narik kunci mobil. Padahal di dalam mobil ada orang (pakde & anak perempuannya). Untung pakde saya refleknya cepet, berhasil megang tangan dan rebut kembali kuncinya. Setelah itu pelaku kabur dan berusaha dikejar oleh pakde saya. Pakde saya emosi karena kaget, apalagi di dalam mobil ada anak perempuannya. Pelaku penarikan kunci tsb dateng sama temen2nya (kalo gak salah total 3 orang, mereka bawa 2 mobil), ngaku dari Mandiri Tunas dan bilang mobil pakde saya bermasalah sambil bawa berkas2. Minta gesek nomor mesin dsb. Padahal mobil pakde dibeli cash.

Mobil pelaku plat AD (kami ada bukti foto, namun takutnya nopol palsu jadi tidak kami share). Para pelaku bilang “kalau bapak polisi akan kami lepas”. Kebetulan pakde saya emang polisi tapi gak mau ngaku, karena mau ngikutin alur permainannya. Pelaku tetep kekeuh kalau harus narik mobil pakde saya. Sempet berdebat panjang, pakde saya sengaja ulur2 waktu untuk manggil anggota polisi lain ke tempat. Tapi salah satu anggota keluarga kami keceplosan kalau pakde saya itu polisi. Akhirnya para pelaku tiba2 minta salim dan pergi gitu aja :). Untuk foto mobil pelaku sudah kami serahkan ke polisi temen pakde saya. Pokoknya harus hati2 kalau berhenti ditempat umum usahakan mobil dalam kondisi terkunci terus.

kejadian 3 Juli, sekitar jam 15.30 lur",0.0
Sat Jul 05 11:37:12 +0000 2025,"~Halowww Warga Jogja Dan Sekitarnya, Ada Kabar Baru Nih Baru Saja Ada Maskapai Baru Lhoh Yang Baru Membuka Rute Dari Halim Perdana Kusuma Jakarta Menuju Bandara Adisutjipto Yogyakarta Yaitu Maskapai Fly Jaya🤩🤩

Untuk Jadwal Pesawat Ini Terbang Dari Bandara Halim Perdana Kusuma Pada Pukul 08:20&14:30 Dan Terbang Dari Bandara Adisutjipto Pada Pukul 06:20&12:30 Untuk Spesifik Pesawat Ini Bermesin Twin-Turboprop Alias ATR Dan Pesawat Ini Memiliki Kelas Ekonomi

✈️FHS 105 Fly Jaya
ATR 72-500(PK-FJA)

Yuk Rasakan Sensasi Terbang Bersama Maskapai Baru Dari Nusantara Ini🫰

(deva_raharjo)",0.0
Sat Jun 21 13:10:24 +0000 2025,"[foto] ""Merapi &amp; Seorang ibu yang sedang mencari rumput buat pakan ternak""

(_ulil.albab_) https://t.co/Col8YuK0cL",0.0
Wed Jul 02 11:11:07 +0000 2025,"kemacetan pukul 17.51 area lempuyangan, raaa mlaku blassss

(Raflkvnsyh_) https://t.co/7Mt6I3rjpD",0.0
Wed Jun 25 14:43:46 +0000 2025,"mau sedikit cerita helm temenku diambil 2 orang yg ada di video, kejadian tadi siang sekitar jam 13.20 di daerah nologaten selatan circle k, tujuan share ini biar semua lebih hati2 klo taruh helm di atas motor

gak nuntut ganti atau apapun temenku udah ikhlas mungkin yg ngambil butuh uang, cuman mungkin dengan ini bisa buat efek jera ke pelakunya biar bisa cari rezeki yg halal | @strwbaery",0.0
Wed Jul 02 00:56:05 +0000 2025,"Samarkan identitasku min , sampah menumpuk di parkiran lantai 4 pasar Prambanan , tidak ada solusi , setelah sebelumnya menumpuk di lantai tiga sekarang cuma di pindah ke lantai 4 di parkiran 🙏🙏 https://t.co/xY5VO5Fjhe",0.0
Mon Jun 30 16:51:31 +0000 2025,"Senin 30 Juni 2025 Koordinator korban lomba tari gagal fandy_s_wibowo didampingi kuasa hukum zainalpetir_ dari LBH Petir dan Budayawan wawanqu.adalima mendatangi Kantor Direktorat Reserse Kriminal Umum Polda Jawa Tengah untuk menanyakan perkembangan kasus pelaporan dugaan penipuan lomba tari yang mencatut nama Gubernur Jawa Tengah.

Berdasar keterangan dari penyidik sudah dilayangkan surat pemanggilan kepada ketua penyelenggara tetapi saat ini baru menunaikan ibadah haji namun kabar terbaru dari Rektor salah satu institusi tempat Ybs bekerja menyatakan sudah pulang jadi bisa segera untuk di mintai keterangan oleh penyidik.

Berdasar keterangan penyidik Ketua Penyelenggara segera akan dimintai keterangan nanti arahnya kemana siapa saja yang berkopenten dan terlibat dalam rangkaian lomba gelaran kegiatan semarak hari ibu suport UMKM pada 20-22 Desember 2024 di Taman Indonesia Kaya Kota Semarang kita tunggu gelar perkara jika memenuhi semua unsur.

Yang jelas penyelidikan tidak berhenti masih berlanjut semoga segera bisa segera ada titik terang setelah 6 bulan berjalan. Para korban serta orang tua, para pelaku seni budaya, pecinta seni tari dan masyarakat yang dari awal mengikuti kasus ini diharap sabar dan tenang.

Mari kawal terus perjuangan belum tuntas, panjang umur upaya baik ✊✊✊

(kumpulgayengsenibudaya)",0.0
Mon Jun 30 20:06:17 +0000 2025,"Min tolong bantu up nama saya jangan dilihatkan ya 

Telang terjadi pencurian tas didalam mobil box , kemarin Senin sekitar jam 11 siang
 di Navagreen tlogorejo jl godean 

Siapa tau disini ada yg mengenali ciri2 seperti di Cctv tsb . https://t.co/Lh4LitjdJ3",0.0
Thu Jun 26 07:39:26 +0000 2025,"Prosesi sedekah laut 1 suro di pantai drini, kabupaten gunungkidul, kamis 26 Juni 2025

Sedekah laut di Pantai Drini adalah tradisi tahunan yang dilakukan oleh masyarakat pesisir, khususnya para nelayan, sebagai wujud syukur atas hasil laut

(kotawonosari) https://t.co/NYCpwdSQg8",0.0
Tue Jun 24 23:33:23 +0000 2025,"Update perkembangan kasus pencurian kandang burung kemarin yang awalnya akan diselesaikan secara kekeluargaan menjadi penahanan.

Hal ini berdasarkan hasil pengembangan oleh Polsek Sewon yang mendapatkan bukti baru dan menahan CB (27) warga pajangan sebagai pelaku pencurian uang kotak amal yang ada di warung soto.

CB mengakui telah membobol warung soto dan mencuri pisau stenlistil dan uang tunai di 3 buah kotak amal dengan jumlah Rp. 150.000,-

Kejadian ini diketahui pemilik warung saat mengecek warungnya yang dikabarkan bila pintu warungnya rusak. Selasa (24/6)

Sebelumnya CB sempat diamankan warga Pendowoharjo Sewon dikarenakan ketahuan mencuri kandang burung murai dengan cara memanjat ke lantai 2 rumah korban. | @inengahjeffry92",0.0
