created_at,text,anotasi,is_kecelakaan
Tue Jul 08 13:55:18 +0000 2025,"Min, mau cerita kejadian yg menimpaku jumat sore kemaren. 

Posisiku pulang kerja lewat ringroad selatan, nah pas di timur masjid UAD sekitar jam 18.00 WIB itu mau nyalip motor satu di depan tapi baru nganan dikit ternyata dr arah barat (belakang) ada motor kronjot lewat dan nyeret stang motorku jd aku kebanting kanan dan sempet keseret, alhamdulillah masih sadar tp patah tulang selangka.. trus tu motor kronjot tetep bablas, dah sempet dikejar tp gak ketangkap... 

Maturnuwun buat mas2 dan bapak2 yang udah bantuin sya malem itu

Himbauan aja buat para pengendara motor kronjot, lebih hati hati mengira ira ukuran bawaannya dan besarnya kronjot karena ternyata banyak cerita yg sama, ketabrak motor kronjot sampe jatuh dan patah tulang.

Tolong sembunyikan identitas saya ya min....

#Jogja #Yogyakarta #Merapi #merapiuncover
#merapinews",Kecelakaan,1
Tue Jul 08 13:25:58 +0000 2025,"Satu rumah di Tegal Lempuyangan, Bausasran, Kemantren Danurejan, Kota Jogja, digusur PT KAI, Selasa (8/7) pagi. PT KAI menyebut tidak akan memberikan kompensasi kepada warga tersebut.

Manager Humas KAI Daop 6 Jogja, Feni Novida Saragih menjelaskan penertiban dilakukan merupakan tindak lanjut dari Surat Peringatan Ketiga (SP3) yang telah dilayangkan sebelumnya. Untuk itu, pihaknya tidak memberikan kompensasi kepada penghuni rumah.

Komentarmu, Dab!

(detikjogja_)",Penggusuran,0
Tue Jul 08 12:00:55 +0000 2025,"Menindak lanjuti kejadian laka tunggal di Jl. Srandakan tepatnya di barat POM Pandak Bantul. Korban mbak2 akibat aspal jalan bergelombang. Senin (7/7)

Polsek Pandak dan Unit Lantas Polres Bantul cek lokasi dan koordinasi dengan dinas terkait.

Dari Dinas terkait sudah memperbaiki jalan yang bergelombang. Selasa (8/7)

Semoga tidak ada lagi korban, dan kepada masyarakat dimohon berhati2 dalam berkendara, jaga konsentrasi dan kecepatan guna mencegah laka. | @inengahjeffry92",Kecelakaan,1
Tue Jul 08 10:28:53 +0000 2025,"Bismillahirrahmanirrahim

Disini saya mau sharing terkait adanya tindak pelecehan anak perempuan kami yg dilakukan oleh tetangga di desa kami. 
Tepatnya tanggal 5 Juli 2025 sekitar pukul 19:00 (sehabis magrib) anak kami selesai ikut berbuka puasa dan sholat magrib di masjid. Baru sekitar 1 minggu anak ini bisa naik sepedah dan menikmati hari-hari liburannya. 

Namun sedihnya anak kami mendapatkan sexual abuse oleh bapak2. Lalu dengan perasaan panik  sambil mengendarai sepeda pulang kerumah, anak kami langsung melaporkan ke saya, berkata. Singkat cerita saya langsung mencari tahu pelaku dan langsung lapor ke RT/RW dan pada malam tsb pak RT langsung mengumpulkan kami semua. 
Terdengar cerita di desa pun sebelumnya oknum ini pernah melakukan hal serupa sebelumnya oleh anak perempuan lain, namun kemungkinan keluarganya tidak melaporkan ke pihak berwenang.

Saat ini saya sudah melaporkan ke pihak berwenang dan diarahkan hari kamis membawa korban agar langsung dimintai keterangan agar dibantu dibuatkan laporan.

Saya juga telah meminta bantuan PPA Bantul agar didampingi kasus ini.
Berharap kasus ini ditindaklanjuti sesuai dengan hukum yang berlaku agar pelaku tidak mengulangi kejadian serupa dan tentunya anak2 didesa kami merasa aman saat bermain.

Mohon dibantu cerita ku agar jadi pembelajaran bagi para orang tua 

Source: uchimonicaa",Pelecehan,0
Tue Jul 08 09:51:48 +0000 2025,"Min bisa bantu gak ya
Kronologi :
Pesan shopee instan dari percetakan ortindo
Status di shopee masih belum dipikup sudah setenga jam nunggu
Lalu saya cancel karna posisi driver masih terlalu jauh.
Saya pesan driver baru katanya sudah diambil driver sebelumnya. 
Itu driver yg ambil paket memang gak seberapa cuma 300an ribu cuma itu urgent🙏🥲 sampai sekarang kehilangan kontak dengan driver paket belum sampe rumah dan tidak kembali juga ke ortindo

(Rendraper)",Etc,0
Tue Jul 08 09:04:04 +0000 2025,"Keajaiban di Tengah Kobaran Api
Sebuah video yang dibagikan warga memperlihatkan Al-Qur’an ditemukan dalam kondisi utuh di tengah puing-puing kebakaran hebat yang terjadi di Desa Wareng, Wonosari, Gunungkidul, Senin (8/7/2025) kemarin.

Meski api melahap bangunan dan harta benda, kitab suci ini tetap utuh—mengundang haru dan rasa takjub dari banyak orang. 🙏📖

(jogjadotnet)",Etc,0
Tue Jul 08 08:58:13 +0000 2025,[Breaking News] 15 : 53 iring iringan  Pak Wapres RI terpantau lewat jl Kaliurang Sleman sore ini https://t.co/7lS0u3qhYs,Etc,0
Tue Jul 08 08:07:28 +0000 2025,"Min boleh nggk aku curhat disini?

Aku sedang banyak masalah, capek banget dengan kondisi hidup, Sesekali terlintas ingin mengakhiri saja semuanya tapi kadang masih teringat kalau aku hanya selesai tentang kehidupan tapi anak dan keluarga ku akan tetap menanggung banyak hal jika aku memutuskan untuk ""pergi""

Aku seorang ibu dengan 2 orang anak min,aku menikah sdh 24 tahun banyak hal yg terjadi didlm pernikahanku, ekonomi bangkrut, perselingkuhan, ditipu teman, aku dibesarkan oleh nenek, menikah kemudian membangun usaha, usaha suami cukup mapan, hingga akhirnya mengalami kebangkrutan lalu kami hidup mulai dari nol lagi, rumah tangga kami yang diwarnai banyak masalah dari perselingkuhan hingga tuntutan dari kel ku untuk membantu mereka secara financial, singkat cerita aku jatuh pada pinjol min, awalnya aku memang meminjam tapi saat pertengahan masa pinjaman ku ada dana masuk yg aku bahkan tidak mengajukan aku coba hub pihak aplikasi tapi mereka tidak mau tau karena dana memang masuk ke rekening an. Ku.. Karena takut akhirnya aku pikir ya aku kembalikan, tapi karena bunga sangat besar dan jarak waktu sangat mepet aku nggk bisa mencicil, nah mulai saat itu banyak sekali tagihan dari aplikasi yg bahkan aku sendiri nggk merasa meminjam, Mereka meneror setiap hari dengan kalimat yang membuat mental orang down, aku menyadari hutang memang harus dibayar tapi saat ini yang ingin aku jalani adalah mencicil sesuai dengan kemampuan ku dulu.

Tanggapan kel jelas mereka menyalahkan kan ku habis habisan, aku bisa memahami itu, aku juga sedang tidak mencari pembenaran atas perilaku ku, aku hanya capek dengan banyak hal didunia ini, Tapi jika aku memutuskan untuk berhenti lantas bagaimana kelak anak anakku akan menjalani hidup, trauma yang akan mereka dapat tentang ibunya yang memilih BD dari pada membesarkan mereka, Tapi saat malam tidak bisa beristirahat yang selalu terlintas hanya hal itu
Aku posting disini bukan untuk meminta dukungan atas kesalahan anku, namun aku minta didoakan dan dikuatkan agar aku bisa menjalani dan mencari solusi atas masalah ini, aku sering baca curhat anggota disini dan aku ingin sekedar bercerita supaya aku kuat
Terimakasih min, doakan aku ya",Etc,0
Tue Jul 08 06:30:18 +0000 2025,"""Pengosongan Paksa oleh PT KAI dan Perjuangan  Warga Lempuyangan Menuntut Keadilan""

Hari ini pukul 8 pagi PT KAI melakukan pengosongan paksa terhadap rumah yang dihuni warga, kami LBH Yogyakarta selalu kuasa hukum warga meminta kepada PT KaI untuk menunjukkan dasar hukum upaya paksa, dasar hukum klaim PT KAI atas bangunan, namun di balas dengan tindakan pembongkaran tanpa menyampaikan dasar hukum yang jelas terlebih dahulu atas kepemilikan bangunan rumah hayam Wuruk nomor 110. Tindakan ini adalah bentuk arogansi kekuasaan terhadap rakyat, warga sebelumnya telah menyurati PT KAI terkait dasar hukum dan dasar klaim serta meminta kai untuk menghargai proses mediasi tapi dijawab dengan upaya paksa hari ini.

(Lbhyogyakarta)",Penggusuran,0
Tue Jul 08 04:20:03 +0000 2025,"[Breaking New] 10:55 terjadi laka di jalan semanu pracimantoro

Truk bermuatan pasir as roda nya putus lalu mundur dan terguling di tanjakan pokcucak (jln semanu - pracimantoro) sopir mandali tidak ada korban dan sekarang proses evakuasi

(Irvanpmbd) https://t.co/RhGkdMVw10",Kecelakaan,1
Tue Jul 08 03:35:43 +0000 2025,"MARGODADI BERSHOLAWAT
walaupun sempet diguyur hujan jamaah tetap ramai

.

(dronemajelis) https://t.co/LrRN7cxAvS",Etc,0
Tue Jul 08 02:40:38 +0000 2025,"Assalamualaikum wrwb. Bu ibu barangkali bisa minta tolong utk share di grup WA ibu ibu, utk membantu mencarikan anak saya Zakia Nur Ramadina panggilan aya usia 17 tahun, sekolah di SMA Muhi Yogya alamat di jl letn sumanto srimulyo RT 03 RW 02 Sleman (depan SDIT Bakti Insani) meninggalkan rumah sejak kemaren siang. Tinggi kira kira 150 Cm, kulit sawo Matang, berkaca Mata. Apabila ada yg mengetahui keberadaannya bisa menghubungi 085799377738 ibu sunariyah Agus. Terimakasih atas bantuannya 🙏🙏",Etc,0
Mon Jul 07 20:51:07 +0000 2025,"Kemegahan Merapi sebagai latar belakang Candi Prambanan

Instanusantara Upload Bersama

INUB 7 Juli 2025

(a4r_photography) https://t.co/tE31M8U2tX",Kecelakaan,1
Mon Jul 07 20:35:14 +0000 2025,"Selamat Pagi
Ijin cerita yaa min,Akun saya Tlong disamarkan Aja ya min

kejadian nya pas Tgl 3 Juli 2025 jam ny aku lupaa antara jam 21.00-22.00
Lokasi di amplaz tepat disamping lift penyebrangan. 

Gini cerita ny Sya ojol saya dpt orderan Diamplaz nah pas Sy jalan mau Ambil Orderan sy lewat tepat Di samping Lift penyebrangan Amplaz itu nah saya papasan Dengan sepasang suami Istri bwa Anak perempuan..sya sempet reflek kaget saat lihat mreka kayak buru buru jln nya dan kayak gandeng ankny trun tangga cpet Gtu..hampir nabrak sy dan suami ini kayak marah GT dr ekspresi wajah nya.. stelah mereka melewati syaa 
Entah kenapa saya smpet berhenti bentar dan nengok ke blkang ke arah Mereka ehh gak tau Nya si suami mukul kepala Istrinya,gak sampai disitu aja min suami Juga nampar si istri di depan anak Perempuan mereka, sampai si anak Ketakutan,si istri kayak nanggis gitu. Saya gak tau Permasalahan mereka apa,dan Saya juga takut mau nanyain krna saya Perempuan min,takut nya saya dikira ikut campur urusan rmhtangga orng tapi disisi lain Saya juga kasihan sama Si istri digituin di tmpt umum , ditmpt umum aja berani sperti itu kalau di rumah entah Gimna itu kayaknya si suami ini emosiann dilihat dr wajah nya yg nafsu bgt pengen mukul si istri.",Etc,0
Mon Jul 07 19:52:06 +0000 2025,"permisi min izin up kasus
jadii saya tadi melakukan transaksi jual hp kak di wa dan saya sudaah mengirim semua kondisi dan bukti hp yang saya juaaal , dan pelaku meminta untuk mengirim hp tersebut menggunakan via (gosend) sayaa pertamanya takut kakk tapi saya melawan ego saya untuk beraniii setelah chatingan dengan pelaku sipelaku mengirimkan bukti maps gosend ke saya otomatis saya percaya tetapii si pelaku telfon saya teruss agar pelaku 2 bisa langsung pergi, setelah saya bercakap’ dengan pelaku 2 si pelaku 1 telfon saya terus dan suruh saya masukk serta melihat bukti tfan posisi itu saya face to face dan saya seperti di hipnotis kakkk, saya ingin melakukan pertolongan tidak bisaaa dan si pelaku 2 membuat percaya saya agar barangnya saya di bawa kabur kakk, setelah saya ingin meminta pertolongan tiba’ si pelaku 1 mengirimkan bukti tf ke sayaa melalui brimo lalu saya cepat’ lari dan meminta pertolongan tetapi tidak terkejar sama sekaliii (pelaku gojek menggunakan atribut gojek, memakai motor honda supra X AD

(waktu kejadian di maguwoharjoo, jam 15.37 ciri’ gojeknya memakai honda supra x plat AD warna motor hitam merah pakai helm putih bapak’ pakai celana cream ) mengaku’ jadi gojeek hati’ lagi ya min yang ketemu orang ini bisa hubungi nomer saya +62 851‑8317‑0248

(Bberycip)",Etc,0
Mon Jul 07 19:24:12 +0000 2025,"Ratu Laut Selatan Penguasa Pantai ini nih guyss 🙀

#nyirorokidul #pantaisadeng #mitos #nelayan

(Adifabagasta) https://t.co/YcM4ChP2dO",Etc,0
