"Unnamed: 0","annotation_id","annotator","created_at","id","is_kecelakaan","label","lead_time","text","updated_at"
11,102,"1","2025-07-10T13:25:43.307626Z",455,1.0,"[{""start"":71,""end"":97,""text"":""Denggung Sleman Yogyakarta"",""labels"":[""LOC""]}]",20.742,"[Breaking News] 01:32 wib info awal terjadi kecelakaan mobil di Bangjo Denggung Sleman Yogyakarta, sudah ada petugas kepolisian di lokasi 
Untuk, Kronologi belum tahu , tadi pas lewat keadaan sudah seperti itu, tetap hati hati saja saat berkendara lur 

(arctcmnkyy) https://t.co/i9V6o1hHhz","2025-07-10T13:25:43.307673Z"
14,103,"1","2025-07-10T13:25:51.326578Z",456,1.0,"[{""start"":244,""end"":285,""text"":""Utara TB Vijaya, Ringroad manding, Bantul"",""labels"":[""LOC""]}]",7.2,"Ijin share min, hampir saja dapat musibah gara” orang ngawur (makluwer, tiba” nyebrang tanpa sein tanpa lihat belakang). Klo smp tertabrak apa ya gak panjang urusannya itu td, blm lg klo parah pasti yg selalu diberatkan yg bawa mobil.

Lokasi:
Utara TB Vijaya, Ringroad manding, Bantul

Akunku disamarkan saja ya min, hanya pgn mengingatkan. Ttp fokus dan waspada dijalan.","2025-07-10T13:25:51.326629Z"
24,104,"1","2025-07-10T13:26:11.269208Z",457,1.0,"[{""start"":59,""end"":69,""text"":""RS.Hermina"",""labels"":[""LOC""]},{""start"":37,""end"":58,""text"":""selokan mataram deket"",""labels"":[""LOC""]}]",19.144,"Min izin menginfokan ada mobil masuk selokan mataram deket RS.Hermina untuk kronologi lengkap belum tau tapi kayake supirnya ngantuk min, sudah ada polisi dan ambulan di tempat, terimakasih.

(_abrijendra) https://t.co/g7qFxJzYP2","2025-07-10T13:26:11.269287Z"
38,105,"1","2025-07-10T13:26:50.365213Z",458,1.0,"[{""start"":4,""end"":25,""text"":""area hos Cokroaminoto"",""labels"":[""LOC""]}]",38.174,"Min area hos Cokroaminoto ada pipa PDAM bocor, dah banyak korban kecelakaan di sini, soalnya jalan nya ambles, Deket palang pintu kereta api

(Danangriosutopo) https://t.co/JhphmhG802","2025-07-10T13:26:50.365260Z"
43,106,"1","2025-07-10T13:27:04.923249Z",459,1.0,"[{""start"":50,""end"":62,""text"":"" Lempuyangan"",""labels"":[""LOC""]},{""start"":40,""end"":52,""text"":""di FlyOver L"",""labels"":[""LOC""]}]",13.8,"min leher saya kena senar layang layang di FlyOver Lempuyangan

Saya dari utara ke selatan pas sampai  FlyOver tiba tiba ada senar layang layang min yang langsung kena leher saya https://t.co/yNK5toEWcd","2025-07-10T13:27:04.923299Z"
50,107,"1","2025-07-10T13:27:31.911181Z",460,1.0,"[{""start"":76,""end"":90,""text"":""pasar Giwangan"",""labels"":[""LOC""]}]",26.113,"Min, selamat pagi. 
Maaf izin melaporkan, kesangkut benang gelasan di utara pasar Giwangan, awalnya kena kaca helm terus Alhamdulillah pas mulai kencangnya tali kena jaket orange di lengan kiri. 
Sepertinya sudah sering terjadi, jadi untuk orang tua tolong diawasi anak anaknya yang main layangan, dan untuk pengendara harap selalu waspada. 🙏 

Terima kasih min.
(Tjanmalaka)","2025-07-10T13:27:31.911257Z"
53,108,"1","2025-07-10T13:27:47.325629Z",461,1.0,"[{""start"":56,""end"":73,""text"":""jalan Pandanaran "",""labels"":[""LOC""]},{""start"":74,""end"":95,""text"":""Jalan Kaliurang atas"",""labels"":[""LOC""]}]",14.469,"[Breaking News] 16:03 telah terjadi kecelakaan motor di jalan Pandanaran (Jalan Kaliurang  atas), kecelakaan nya motor vs motor min, korbannya anak kecil sama bapak² min, bapaknya sudah dilarikan ke rumah sakit min, 

(Shelaangraeni_r) https://t.co/hhIMyHSFUQ","2025-07-10T13:27:47.325682Z"
65,109,"1","2025-07-10T13:27:53.941387Z",462,1.0,"[{""start"":44,""end"":54,""text"":""Adp sedayu"",""labels"":[""LOC""]}]",5.867,"[Breaking News] 17:38 terjadi laka di depan Adp sedayu, nge rem ndadak menghindari molen

(Kulonprogobinangun_) https://t.co/FpFloFLRkc","2025-07-10T13:27:53.941437Z"
70,110,"1","2025-07-10T13:28:01.589392Z",463,1.0,"[{""start"":165,""end"":184,""text"":""Gambiran Yogyakarta"",""labels"":[""LOC""]}]",6.762,"Senar layangan nyilakani tenan min. Korbannya kebetulan adekku sendiri, kejadiannya tadi sore. Pulang pulang nangis karna ada luka di leher sama tangannya.

Lokasi: Gambiran Yogyakarta 

(Arumpramesty) https://t.co/Ey9NmeSFeO","2025-07-10T13:28:01.589445Z"
78,111,"1","2025-07-10T13:28:07.530606Z",464,1.0,"[{""start"":14,""end"":33,""text"":""Underpass kentungan"",""labels"":[""LOC""]}]",5.103,"RT @iwandanu: Underpass kentungan kembali memakan korban @merapi_uncover","2025-07-10T13:28:07.530699Z"
79,112,"1","2025-07-10T13:28:21.102068Z",465,1.0,"[{""start"":48,""end"":91,""text"":""Pertigaan Kepek Clereng Pengasih Kulonprogo"",""labels"":[""LOC""]}]",12.836,"[Breaking News] 10:12 Min barusan kecelakaan di Pertigaan Kepek Clereng Pengasih Kulonprogo, 2 motor ibu2 abis belanja dan bapak2 

Di lokasi sudah ditolong oleh anggota TNI

(Dwias_dwi) https://t.co/WoBjPWg4Zd","2025-07-10T13:28:21.102117Z"
83,113,"1","2025-07-10T13:28:28.273720Z",466,1.0,"[{""start"":39,""end"":61,""text"":""perempatan taman siswa"",""labels"":[""LOC""]}]",6.459,"[Breaking News] Kejadian kecelakaan di perempatan taman siswa,mas"" dari Utara nyeruduk mobil dari belakang ndan https://t.co/cFVTw1dYrE","2025-07-10T13:28:28.273771Z"
86,114,"1","2025-07-10T13:28:46.118811Z",467,1.0,"[{""start"":140,""end"":169,""text"":""PLN Druwo jalan Parangtritis "",""labels"":[""LOC""]}]",17.013,"Sehari mengalami dua kali  kecelakaan, Mas mas diduga maling motor ini kini sudah di amankan polisi.

Kecelakaan pertama sore tadi di depan PLN Druwo jalan Parangtritis dan kecelakaan kedua malam ini di jalan solo dekat Bandara, kemudian, kemudian mas mas tersebut di bawa ke RSIY untuk perawatan. Sambil menunggu pemilik motor datang ke lokasi 

📸: Bertha poernama","2025-07-10T13:28:46.118898Z"
89,115,"1","2025-07-10T13:29:38.044784Z",468,1.0,"[{""start"":16,""end"":24,""text"":""jl. Solo"",""labels"":[""LOC""]}]",51.078,"Min, barusan di jl. Solo ada 3 motor jatuh karna menghindari pengendara sepeda motor yg nglawan arah, termasuk saya. Pengendara motor 2 cewek berboncengan keluar dari gang sebelah hotel apa itu lupa. Dan lawan arah dah gitu posisinya di nengah"". Al hasil 1 bapak"" terjatuh, motor dibelakangnya menghindari bapak""nyabtadi, dan saya pun menghindari kedua motor tapi di kiri saya banyak kendaraan agak cepat juga, mencoba ngerem tapi kejadiannya begitu cepat dan kondisi hujan deras motor+saya pun ngesot. Mbaknya selamat tapi yg lain jatuh. 
Karna saya dikejar waktu, dan korban pertama minta ganti rugi ke mbak""nya saya pamit undur diri.
Pelajarannya ""kepada semua pengendara mbok jangan dibiasakan melawan arah, apa lagi jalur ramai dan padat kendaraan. Korbannya bisa jadi bukan pelawan arahnya, tapi malah sering orang yg sudah berada di jalan ""yang benar"". Kerugian materi, kesehatan, bahkan bisa nyawa seseorang taruhannya""
Tadi mbak²nya sudah minta maaf.

Dan mau ganti rugi tapi di dompetnya hanya ada uang 40rb. 😂 gak tega juga saya.","2025-07-10T13:29:38.044835Z"
92,116,"1","2025-07-10T13:29:50.416317Z",469,1.0,"[{""start"":72,""end"":98,""text"":""Jl. Kabupaten selatan BMKG"",""labels"":[""LOC""]}]",11.526,"Tadi siang sekitar pukul 12.00 telah terjadi musibah truck terguling di Jl. Kabupaten selatan BMKG

 Proses evakuasi berlangsung dari pukul 13.00 - 14.00 WIB.

Kronologi kejadian saat pengemudi truk mencoba memasuki area proyek pembangunan dengan posisi berjalan mundur, roda belakang truk terperosok ke dalam selokan yang fondasinya tidak mampu menahan beban kendaraan, sehingga mengakibatkan truk amblas dan terguling. 

Untuk personil yang terlibat:
- Sie Pammat Ditsamapta Polda Diy
- Satlantas Polresta Sleman
- Polres Sleman
- Polsek Mlati
- FPRB Sendangadi
- Redkar Sleman
- Warga sekitar

Tidak ada korban jiwa dalam kejadian ini ( nihil )

(Albert_wsn)","2025-07-10T13:29:50.416362Z"
96,117,"1","2025-07-10T13:30:00.428029Z",470,1.0,"[{""start"":46,""end"":70,""text"":""di Jalan Kaliurang km 20"",""labels"":[""LOC""]}]",9.249,"menginformasikan min, terjadi kebarakan mobil di Jalan Kaliurang km 20 pagi ini, mohon tetap safety dan berhati-hati lur, nama dan username tolong di anonim kan min, maturnuwun 🙏 https://t.co/M7HaCgLjCX","2025-07-10T13:30:00.428109Z"
116,118,"1","2025-07-10T13:30:13.465347Z",471,1.0,"[{""start"":74,""end"":105,""text"":""maguwo RT 16 banguntapan bantul"",""labels"":[""LOC""]},{""start"":159,""end"":176,""text"":""SMA 1 Banguntapan"",""labels"":[""LOC""]}]",12.33,"[Breaking News] ada truk njeglong,
barusan.,,
9.40 WIB, 27 Juni 2025,
 di maguwo RT 16 banguntapan bantul,
samping konveksi enggar collection,
sekitaran utara SMA 1 Banguntapan,

agar hati hati jika lewat sini

(soranibrahim.7) https://t.co/csie36f0dh","2025-07-10T13:30:13.465417Z"
118,119,"1","2025-07-10T13:30:32.732010Z",472,1.0,"[{""start"":80,""end"":94,""text"":""ringroad timur\\n"",""labels"":[""LOC""]},{""start"":64,""end"":79,""text"":""rs hardjolukito"",""labels"":[""LOC""]}]",18.368,"min tadi pagi pagi sekitar jam 5 pagi.. ada laka di lampu merah rs hardjolukito ringroad timur

(Dwiuwiu_) https://t.co/a0lwVUwhzg","2025-07-10T13:30:32.732059Z"
