created_at,text
Fri Jun 27 15:09:26 +0000 2025,"Sekitar pukul 21;47 min udah tau jalan macet masih nrabas min

Lokasi : Jokteng lor

(Hermawanpujis) https://t.co/bdLJKJzL2m"
Fri Jun 27 14:49:38 +0000 2025,"Min mau cerita Catcalling oleh pihak parkir resto besar di  Yogyakarta.
*mohon disamarkan nama saya dan tidak di tag

Catcalling dialami oleh saya di jam 8 malam 27 Juni 2025 oleh pihak parkir yang bertugas. Posisi saya sedang jogging dan lewat depan resto, seketika tukang parkir teriak “ONO SEGO ORA?” dan menatap ke arah saya dengan pakaian olahraga kaos dan celana pendek jogging. Disitu saya langsung ngeh dan teriak ke arah mereka dan mereka tidak menanggapi hal tersebut. 
Tidak lama saya kembali ke resto langsung ke resepsionis untuk mengadukan hal tersebut, pihak resto baik dan tanggap tapi tetap tidak menemukan titik tengah karena mereka beralasan ONO SEGO ORA itu mereka sedang menanyakan NASI JUMAT BERKAH yang disediakan resto, satpam diresto tersebut tidak terima karena saya mengucapkan hal tersebut termasuk PELECEHAN dan justru balik mengatai saya BAPER. Sebab itu juga satpam menyuruh saya minta maaf ke rekan parkirnya atas dalih menuduh."
Fri Jun 27 14:02:13 +0000 2025,kridosono saat ini 20.50 | @adityadanish1 https://t.co/TbZ7qL7VWf
Fri Jun 27 14:00:37 +0000 2025,"Keindahan alam yang berdiri gagah 🌋

Gn. Merapi, Daerah Istimewa Yogyakarta

(hilmimumtaaz) https://t.co/wZ6Gr0o5er"
Fri Jun 27 13:47:22 +0000 2025,"Hallo sedulur Bantul, Pengunjung memadati ritual tradisi Nguras Enceh (kong/gentong) Makam Raja-raja Mataram di Pajimatan Imogiri, Jumat (27/6). Mereka berebut air dari gentong, sebagian pengunjung percaya, air tersebut dapat mendatangkan kebaikan.

Tradisi Nguras Enceh merupakan agenda rutin setiap bulan Sura dalam kalender jawa yang dilaksanakan oleh abdi dalem Kraton Surakarta dan Yogyakarta.

Dilaksanakan bertepatan dengan hari Jumat Kliwon atau Selasa Kliwon. Empat buah Enceh pusaka yang berada di gerbang Makam Sultan Agung dikuras.

(pemkabbantul)"
Fri Jun 27 13:41:13 +0000 2025,"halo min, ini bingung lapor ke mana, jadi sampein ke sini saja, ini ada lampu lalu lintas yang mati. lampu merah sebelah kanan
Lokasi jl. parangtritis perempatan dkt hotel ros -in. dari arah selatan ke utara.
tlng nama saya disembunyikan saja min https://t.co/sJUy434l9f"
Fri Jun 27 12:02:21 +0000 2025,"Memayu Hayuning Bawana, Sedekah Gunung Merapi.

SETUJU ??
Sedekah Gunung Merapi merupakan salah satu kearifan lokal yang dimaknai masyarakat Desa Lencoh, Selo, Boyolali sebagai mitigasi metafisik untuk memperoleh keamanan dan keselamatan dari risiko bencana gunung berapi yang menghantui.

Tidak hanya sebatas sarana meminta perlindungan kepada entitas metafisik semata. Sedekah Gunung Merapi menjadi wujud pengaplikasian prinsip hidup memayu hayuning bawana, yaitu menjaga keseimbangan dan keselarasan manusia dengan alam.

(jalikarta)"
Fri Jun 27 10:50:40 +0000 2025,"✨ Dinas Pariwisata Kepemudaan dan Olahraga Kabupaten Magelang kembali menghadirkan event spektakuler yang memadukan budaya, musik, dan pesona alam dalam satu harmoni:
🌿 Harmony Semesta!

🌟 Ketep Summit Fest #6
🗓 18–20 Juli 2025
📍 DTW Ketep Pass, Sawangan, Kabupaten Magelang

Di sinilah musik, budaya, alam, dan semangat rakyat bersatu dalam satu panggung semesta.
Dari kirab gunungan, sendratari, konser spektakuler bersama The Rain, hingga UMKM & pertunjukan kesenian rakyat

🎟️ GRATIS (cukup bayar tiket masuk Ketep Pass)! 🎶🌋

📸 Ajak teman & keluarga, abadikan momen terbaikmu di tengah keindahan Magelang yang memukau.

Informasi:
@ketepsummitfest
@officialwisatamagelang

#KetepSummitFest2025 #MelanglangMagelang #WisataMagelang #EventMagelang #KSF2025 #HarmonySemesta"
Fri Jun 27 10:32:26 +0000 2025,"min saya mau ceritaa,jadi saya semalem mengikuti tradisi mubeng benteng,sewaktu jalan ada peraturan peraturan yang harus kita jalankan,contohnya tidak boleh ada yang bersuara/berbicara,nah kemarin waktu melakukan tradisi tersebut dibelakang saya ada mas' dan mbak' yang berpacaran mereka berbicara dan tertawa sangat keras,saya liatin terus saya pikir dengan cara begitu mereka akan paham dan akan berhenti berbicara dan ketawa, ternyata tidak sama sekali mereka terus mengobrol dan tertawa,tidak ada petugas yang menegur mereka mungkin karena dibelakang jadi tidak ada petugas yang menjaga,saya cerita begini supaya menjadi pelajaran buat orang lain,jangan sekedar fomo tapi tolong ikuti aturan aturan yang sudah ditentukan.

tolong samarkan username saya min, trimakasih 🙏🏻"
Fri Jun 27 10:21:15 +0000 2025,"Pov :Main ke Pantai ParangEndog pagi hari

Siapa yang masih mengira kalau di ujung pantai parangtritis ini namanya pantai Parangendog ada di Bantul, padahal aslinya sudah masuk Gunungkidul ya gais

📍 Pantai Parangendog, Girijati, Purwosari, Gunungkidul , DI Yogyakarta

(anto_hariyanto)"
Fri Jun 27 09:53:55 +0000 2025,"Info lur, ini tempat apa ya? Kok tiap lewat awan sore rame tapi nggak ono keterangane dodolan apa? https://t.co/DnCyMQSgrr"
Fri Jun 27 09:41:46 +0000 2025,"Dalam rekonstruksi, tersangka dan saksi melakukan adegan mulai dari tersangka MRR pulang dari bekerja. Adegan dilanjutkan dengan korban berada di dapur sedang menggoreng bakso. Sedangkan tersangka sedang mencuci piring, hingga akhirnya terjadi cekcok.

""Dari rencana 41 adegan, berkembang menjadi 52 adegan dalam reka ulang ini,"" kata Jeffry dalam keterangannya, Selasa (24/6/2025).

""Pada adegan 7, tersangka mencekik leher korban menggunakan kedua tangannya,"" terang dia.

Dalam adegan selanjutnya, saat posisi dicekik korban sempat meminta maaf dengan isyarat menyimpulkan ke dua tangannya kepada tersangka.

“Korban juga sempat melakukan perlawanan dengan cara mencakar leher tersangka,” ungkap dia.

Badan korban akhirnya lemas dan badannya turun ke bawah hingga berbaring di lantai dalam posisi tersangka masih mencekik leher korban.

“Untuk memastikan korban sudah tidak bernyawa, tersangka lalu mengecek nafas dari hidungnya serta nadi di pergelangan tangan korban,” ujar Jeffry.

Setelah korban dipastikan sudah tewas, tersangka lalu menyeret korban ke dalam kamar gudang.

Reka adegan diakhiri dengan tersangka mengendarai sepeda motor membawa 1 (satu) trash bag berisi tulang belulang yang dicuci dan 1 (satu) trash bag berisi pakaian, rambut, selimut dan jas hujan ke rumahnya di Kretek. Setelah sampai 1 (satu) trash bag berisi tulang belulang yang sudah bersih ditaruh di kamar dan 1 (satu) trash bag berisi pakaian, rambut, selimut dan jas hujan ditaruh di pekarangan selatan rumah.

(polresbantuldiy)"
Fri Jun 27 08:58:29 +0000 2025,"Orang Hilang 

Nama = Awank Ebnu Vandi P
Ciri2 = tinggi kurus kulit sawo matang
Pakaian terakhir = hoodie cream kekuning"" an
Motor = beat street warna hijau
Plat = AB - 5472 - JK

terakhir meninggalkan rumah tanggal 25 juni. dari jam 17.00 WIB sampai hari ini tanggal 27 juni belum berada dirumah, dan ngga ada kabar sama sekali, wa centang 1 dari habis pamit. dan semua sosmed off, pamitnya mau makan ke bakso granat setelah di cek cctv hari itu dan jam itu tidak ada beliau mampir
Sudah mencoba melacak hp melalui email dan berhasil masuk tapi setelah itu terlog-out dan sudah di ganti PW

(Keysamhswri)"
Fri Jun 27 05:41:03 +0000 2025,"Min mau nanya dong (sembunyikan nama saya ya 🙏)

porter stasiun tu emang ada tarifnya ya? dulu saya pernah sewa karna bawa koper besar banget tak kasih 25rb ga minta lebih, lebih ke orangnya ga liat uang yg saya kasih. Tapi barusan saya juga sewa porter, barang saya lebih sedikit dan ga seberat dan ga sejauh jalannya waktu awal saya pikir dikasih 20rb udah pantes dan memang ga ada lagi uang receh saya. Tapi orangnya minta lebih (30rb). Apa emang pantasnya segitu ya min. Semata saya ga terkesan pelit aja. 
Terimakasih"
Fri Jun 27 05:16:50 +0000 2025,"Kowe ora bakal ngerti piye rasane pas aku nyobo jelaske opo seng gawe aku loro, tapi malah kowe mikire aku selalu  golek masalah gawe tukaran"
Fri Jun 27 03:22:46 +0000 2025,"min, tadi jam 10.00 di St. Tugu diputar lagu kebangsaan Indonesia Raya dan saya Bangga sekali terutama untuk warga Jogja yang masih menyempatkan diri untuk sejenak berdiri menyanyikan lagu Indonesia Raya, walaupun ada beberapa golongan muda yang terlihat belum berdiri tapi saya sangat respect untuk lansia yang masih berdiri, Warga Jogja sangat keren ❤️‍🔥❤️‍🔥

(Fathanadzz_)"
Fri Jun 27 02:54:04 +0000 2025,"[Breaking News] ada truk njeglong,
barusan.,,
9.40 WIB, 27 Juni 2025,
 di maguwo RT 16 banguntapan bantul,
samping konveksi enggar collection,
sekitaran utara SMA 1 Banguntapan,

agar hati hati jika lewat sini

(soranibrahim.7) https://t.co/csie36f0dh"
Fri Jun 27 02:47:02 +0000 2025,"Kirab Pusaka 1 Suro Warsa Dal 1959 Karaton Surakarta Hadiningrat

(fr.ry) https://t.co/nbiyEYHIzt"
Fri Jun 27 02:26:29 +0000 2025,"min tadi pagi pagi sekitar jam 5 pagi.. ada laka di lampu merah rs hardjolukito ringroad timur

(Dwiuwiu_) https://t.co/a0lwVUwhzg"
Fri Jun 27 02:11:43 +0000 2025,"selamat pagi, izin menyampaikan aja yaa min untuk dishub atau llaj bahwasannya lampu apill perempatan brimob timoho itu banyak yang tertutup daun"" sehingga lampu apill ada yang tidak terlihat tolong bisa dibantu pemeliharaan 
terimakasih 🙏🏻

(Nanaslandd_) https://t.co/g1pSanDdzB"
Fri Jun 27 01:44:22 +0000 2025,"Menginformasikan pukul 07.45 Wib laka tunggal R4 masuk jurang di jln wates KM 13 argosari sedayu,kronologi sementara karena sopir mengantuk.

(Yoga_karsa) https://t.co/g20yrwN9oJ"
Fri Jun 27 00:43:45 +0000 2025,""" TOPO BISU ""

Mubeng Beteng Karaton Ngayogyakarta Hadiningrat | @praditsandy30 https://t.co/ZEEDRIVXpy"
Fri Jun 27 00:38:06 +0000 2025,"Malam 1 Suro Tahun ini Bertepatan dengan Malam Jumat Kliwon, Malam 1 Suro Bertepatan dengan Jumat Kliwon baru akan terjadi 8 tahun lagi..

(dimasf175) https://t.co/k4WETy5ELN"
Fri Jun 27 00:25:12 +0000 2025,"Izin melaporkan min, keadaan jln kayen raya selama kurleb 1 tahunan ini makin memprihatinkan, lubangnya makin membesad.. monggo dinas terkait untuk membantu menyelesaikan masalah tersebut, karena sangat membahayakan orang yang lewat terutama pengguna sepeda motor.. https://t.co/BlyrIaNppM"
Thu Jun 26 19:18:58 +0000 2025,"Fomo ikut Mubeng Beteng tapi penasaran story dibalik tradisi ini? Tonton videonya.
Kalo salah nanti kita benerin lagi🫶

Source : Dinas Kebudayaan Kota Yogyakarta, SKDupark, Tempo &amp; Kompas.

(mahdirajiv) https://t.co/AnjsYW5ZXK"
Thu Jun 26 19:02:44 +0000 2025,"[Breaking News] 01:54 Maling Hp dan uang di kurahan Margodadi seyegan  tertangkap , saat ini sudah ditangani pak polisi 

(Yhsff_) https://t.co/N3Jm1hdaws"
Thu Jun 26 18:47:10 +0000 2025,"Hajad Dalem Mubeng Beteng untuk Mangayubagya Warsa Enggal atau Tahun Baru Jawa Dal 1959. Prosesi adat ini awalnya hanya dilakukan oleh keluarga kerajaan dan Abdi Dalem, tapi sejak tahun 2017 prosesi upacara ini dilepas dengan persetujuan dari GKR Mangkubumi, putri Sri Sultan Hamengkubuwana X"
Thu Jun 26 18:24:47 +0000 2025,pantauan hybrid.. cctv malam ini  | @ynrvvib https://t.co/3GWPYYZHXy
Thu Jun 26 18:14:53 +0000 2025,"Mubeng Beteng, atau yang sering disebut Topo Bisu Lampah Mubeng Beteng, adalah sebuah ritual laku prihatin (tirakat) untuk menyambut malam 1 Suro, atau Tahun Baru dalam kalender Jawa.
.
26/6/2025

(atikakurniati82) https://t.co/1DTwQDAHdS"
Thu Jun 26 17:51:12 +0000 2025,"[Breaking News] terjadi  kecelakaan andong ketabrak mobil didepan rskia bunda jam sekitar 00.35

(Valleeeeeennnnnnnn) https://t.co/G2OInV64pB"
Thu Jun 26 17:46:44 +0000 2025,"[Breaking News] 00:39 Jalan Parangtritis macet , dari Jembatan Utara TPR sampai pesisir pantai 

(Dn_bagus2) https://t.co/gsRbd3cLVw"
Thu Jun 26 17:40:28 +0000 2025,"00:37 suasana Alun alun utara Kraton Yogyakarta , dipadati warga yang ikut mubeng Beteng 

(https://t.co/To0WVCJcto) https://t.co/qjDR2bLmAY"
Thu Jun 26 17:35:37 +0000 2025,"[Breaking News] Ribuan Masyarakat Ikuti Hajad Kawula Dalem Mubeng Beteng Malam 1 Suro di Yogyakarta

(berandajogja) https://t.co/bSyePqHtZr"
Thu Jun 26 17:29:28 +0000 2025,"Hajad Kawula Dalem Mubeng Beteng dalam rangka memperingati Tahun Baru Jawa Dal 1959  diselenggarakan pada Kamis (26/06) malam Jumat, pukul 23.00 WIB.

(info_gunungkidul) https://t.co/HmrcRadYjQ"
Thu Jun 26 16:49:33 +0000 2025,[Foto] suasana depan titik star mubeng Beteng sudah penuh sesak https://t.co/8hl4sju1gr
Thu Jun 26 16:49:05 +0000 2025,"Suasana di Kagungan Dalem Bangsal Pancaniti Kraton Ngayogyakarta Hadiningrat menjelang Prosesi Hajad Kawula Dalem Mubeng Beteng

(basori_anwar) https://t.co/1m9Mai06TW"
Thu Jun 26 16:44:48 +0000 2025,"Suasana pantai Samas Bantul Malam ini 

(Rvdtyv) https://t.co/WJbkjqKCb9"
Thu Jun 26 16:43:10 +0000 2025,"situasi terkini jalan mayjend sutoyo kirab mubeng beteng 23:25

(raihan_putranto ) https://t.co/x7BKPUeyfM"
Thu Jun 26 16:35:27 +0000 2025,"LIVE REPORT MUBENG BENTENG
Satlantas Polresta Yogyakarta melaksanakan pengamanan kegiatan masyarakat Lampah Budaya Mubeng Benteng di wilayah Kota Yogyakarta.
SALAM TERTIB LALU LINTAS
@ Satlantas Polresta Yogyakarta 🇲🇨

(satlantasjogja) https://t.co/mdT0B8jwaM"
Thu Jun 26 16:01:29 +0000 2025,"22:58 Mohon bantu share lur, buat temen2 yang malam ini mau ke arah Gunungkidul atau sebaliknya harap berhati-hati di area Sambipitu - Patuk, karena hampir disetiap tikungan banyak tumpahan solar https://t.co/t1v4P8VZit"
Thu Jun 26 15:29:11 +0000 2025,"22:25 TPR Parangtritis terpantau ramai kendaraan malam ini 

(Dittaarin) https://t.co/rztKIaZjzw"
Thu Jun 26 15:17:06 +0000 2025,"[Video] Sedekah gunung merapi boyolali

📍pendopo joglo lencoh selo boyolali

(aslicahboyolali) https://t.co/TukbNGk7jM"
Thu Jun 26 14:05:59 +0000 2025,"Sesekali kalau kalian butuh Recharger Energy dateng aja ke pasar Bringharjo, sesekali temuin simbah simbah jasa gendong ajak mereka cerita dan jangan lupa berbagi sedikit buat mereka ya 🥰🙏

Sedikit cuplikan cerita tadi pagi dengan simbah jasa gendong (jujur lupa tadi siapa namanya 🥲)
Buat temen temen pejuang rupiah diluar sana, tetep sehat semangat dan jangan lupa terus bersyukur 🙏😊

(jennairaputri_p)"
Thu Jun 26 13:34:02 +0000 2025,"Min kejadian lagi di Pakuwon mall.. parkir ga bener menghabiskan tempat parkir untuk 1 mobil aja. 

Kejadian hari Kamis, 26 Juni 2025 jam 20.00 https://t.co/iiRqHFzDsj"
Thu Jun 26 13:27:21 +0000 2025,Malem 1 suro malem Jumat Kliwon
Thu Jun 26 12:56:39 +0000 2025,"Malam 1 Suro bukan malam biasa. Di Gunungkidul, suasananya beda. Pantai, hutan, hingga padepokan tiba-tiba ramai.

Warga berkumpul, duduk bersila, jalan kaki, hingga menggelar wayang kulit. Semua dalam suasana hening penuh makna.

Kundho Kebudayaan Gunungkidul, Agus Mantara mengatakan, ada beberapa lokasi yang rutin dipakai untuk kegiatan tirakatan saat malam 1 Suro.

(jogjadotnet)"
Thu Jun 26 12:04:52 +0000 2025,"Seorang bapak warga Panggang, Gunungkidul, telah mencabuli anak kandungnya sendiri yang berusia 12 tahun atau masih duduk dibangku Sekolah Dasar. Pencabulan dilakukan dirumahnya sendiri, sang pelaku juga mengancam korban untuk tidak bercerita kepada orang lain maupun ibunya.

Pelaku telah ditangkap dan diamankan oleh petugas, pelaku dijerat minimal 5 tahun penjara dan maksimal 15 tahun penjara.

(sekilas_gunungkidul)"
Thu Jun 26 11:16:57 +0000 2025,"Motor tertinggal 

Minta tolong kalau ada yang kenal sama mbaknya yang pakaian putih , helm putih , mohon diinfokan motornya tertinggal di warung mie ayam Sabrang kinanthi , datang sendiri sendiri pulangnya boncengan https://t.co/XwNmRIeDvN"
Thu Jun 26 11:14:34 +0000 2025,"Mohon maaf admin
Mohon akun ini di sensor

Izin menginfokan 
Tadi siang sekitar jam 12 ketika saya lewat jalan sultan agung di area gedung ini terdapat orang yang sepertinya tunawisma sedang (maaf)🙏🏻 melakukan onan* 

Seperti nya bapak tersebut tidur dan menempati lokasi tersebut, mohon di bantu di sampaikan pada pihak terkait sebab rasanya kurang nyaman dan agak shock, di takutkan juga terjadi hal yang tidak di inginkan di kemudian hari akibat fantasi pelaku🙏🏻"
Thu Jun 26 10:43:01 +0000 2025,"[Breaking News] Kereta KRL Jogja solo mengalami kerusakan di stasiun delanggu pada pukul 17.00, saat ini semua penumpang diturunkan sambil nunggu kereta pengganti dari Solo

#jogja #yogyakarta #merapiuncover #merapi #merapinews 

📸: hasansanz https://t.co/mRR9itoAVc"
Thu Jun 26 11:00:01 +0000 2025,"✨️✨️Sore hari kota Jogja emang buat candu.
Kenangan apa yang kamu pernah dapatkan di kota ini..?
.
.
#yogyakarta #fypシ
(alga_fitrian) https://t.co/WKlLyk83SW"
Thu Jun 26 10:18:40 +0000 2025,"Kirab Budaya Ngarak Siwur ,2025.

Kirab budaya ngarak siwur diadakan setiap
bulan suro atau Muharom menjelang
diadakannya acara nguras enceh di makam
raja-raja imogiri.

📍Imogiri .Bantul

(ibnumurti) https://t.co/zawjA4muxk"
Thu Jun 26 09:57:50 +0000 2025,"[Breaking News] 16:45 terjadi laka antara mobil dengan mobil box sore ini di dekat ISI jalan Parangtritis Yogyakarta 

(Menilprttw) https://t.co/8xThZlWEll"
Thu Jun 26 09:57:27 +0000 2025,"Asal Mula dan Pendirian:

Abad ke-9 Masehi: Candi Sojiwan diperkirakan dibangun pada masa Kerajaan Mataram Kuno, sekitar pertengahan abad ke-9, antara tahun 842 dan 850 Masehi.
Penghormatan untuk Nenek Raja: Candi ini didirikan sebagai bentuk penghormatan dari Raja Dyah Balitung (yang memerintah Mataram Kuno antara 899-911 Masehi) untuk neneknya yang bernama Nini Haji Rakryan Sanjiwana. Hal ini menunjukkan kerukunan antar umat beragama pada masa itu, di mana raja yang beragama Hindu membangun candi Buddha untuk neneknya.
Fungsi: Sebagai candi Buddha, Candi Sojiwan berfungsi sebagai tempat pemujaan, meditasi, dan juga sebagai media pembelajaran spiritual. Relief-reliefnya yang sarat akan kisah fabel dengan pesan moral agama Buddha menunjukkan peran pentingnya dalam kegiatan keagamaan dan pendidikan masyarakat kala itu. #candi #fpv

(rk_fpv)"
Thu Jun 26 09:18:22 +0000 2025,"Dari pagi sampai sore simbah jasa gendong di pasar Bringharjo ini cuma bisa dapat 3 orang yang bisa memakai jasa gendongnya beliau 🥲

Beliau berangkat pagi dari kulonprogo naik bus sampai pasar Bringharjo, temen-temen kalau belanja di Pasar Bringharjo jangan lupa untuk berbagi dengan simbah-simbah jasa gendong ini ya. Walaupun sebenarnya kita bisa bawa sendiri, paling tidak bisa meringankan beliau-beliau ini untuk bisa makan dihari esok 🥲😭

#fyp #jasagendong #pasarbringharjo #jasagendongpasarbringharjo #jogja #jogjaistimewa #réel #jogjahits

(jennairaputri_p)"
