created_at,text,anotasi,is_kecelakaan
"Fri Jun 27 15:09:26 +0000 2025","Sekitar pukul 21;47 min udah tau jalan macet masih nrabas min\n\nLokasi : Jokteng lor\n\n(Hermawanpujis) https://t.co/bdLJKJzL2m","Etc",0
"Fri Jun 27 14:49:38 +0000 2025","Min mau cerita Catcalling oleh pihak parkir resto besar di Yogyakarta...\n\n*mohon disamarkan nama saya dan tidak di tag...","Pelecehan",0
"Fri Jun 27 14:02:13 +0000 2025","kridosono saat ini 20.50 | @adityadanish1 https://t.co/TbZ7qL7VWf","Etc",0
"Fri Jun 27 14:00:37 +0000 2025","Keindahan alam yang berdiri gagah 🌋\n\nGn. Merapi, Daerah Istimewa Yogyakarta\n\n(hilmimumtaaz) https://t.co/wZ6Gr0o5er","Budaya",0
"Fri Jun 27 13:47:22 +0000 2025","Hallo sedulur Bantul, Pengunjung memadati ritual tradisi Nguras Enceh (kong/gentong)...","Budaya",0
"Fri Jun 27 13:41:13 +0000 2025","halo min, ini bingung lapor ke mana, jadi sampein ke sini saja, ini ada lampu lalu lintas yang mati...","Infrastruktur",0
"Fri Jun 27 12:02:21 +0000 2025","Memayu Hayuning Bawana, Sedekah Gunung Merapi...","Budaya",0
"Fri Jun 27 10:50:40 +0000 2025","✨ Dinas Pariwisata Kepemudaan dan Olahraga Kabupaten Magelang kembali menghadirkan event spektakuler...","Promosi",0
"Fri Jun 27 10:32:26 +0000 2025","min saya mau ceritaa,jadi saya semalem mengikuti tradisi mubeng benteng...","Budaya",0
"Fri Jun 27 10:21:15 +0000 2025","Pov :Main ke Pantai ParangEndog pagi hari...","Wisata",0
"Fri Jun 27 09:53:55 +0000 2025","Info lur, ini tempat apa ya? Kok tiap lewat awan sore rame tapi nggak ono keterangane dodolan apa?...","Etc",0
"Fri Jun 27 09:41:46 +0000 2025","Dalam rekonstruksi, tersangka dan saksi melakukan adegan mulai dari tersangka MRR pulang dari bekerja...","Kriminal",0
"Fri Jun 27 08:58:29 +0000 2025","Orang Hilang \n\nNama = Awank Ebnu Vandi P...","Kehilangan",0
"Fri Jun 27 05:41:03 +0000 2025","Min mau nanya dong (sembunyikan nama saya ya 🙏)... porter stasiun tu emang ada tarifnya ya?...","Etc",0
"Fri Jun 27 05:16:50 +0000 2025","Kowe ora bakal ngerti piye rasane pas aku nyobo jelaske opo seng gawe aku loro...","Etc",0
"Fri Jun 27 03:22:46 +0000 2025","min, tadi jam 10.00 di St. Tugu diputar lagu kebangsaan Indonesia Raya...","Budaya",0
"Fri Jun 27 02:54:04 +0000 2025","[Breaking News] ada truk njeglong, barusan... 9.40 WIB, 27 Juni 2025, di maguwo RT 16 banguntapan bantul...","Kecelakaan",1
"Fri Jun 27 02:47:02 +0000 2025","Kirab Pusaka 1 Suro Warsa Dal 1959 Karaton Surakarta Hadiningrat...","Budaya",0
"Fri Jun 27 02:26:29 +0000 2025","min tadi pagi pagi sekitar jam 5 pagi.. ada laka di lampu merah rs hardjolukito ringroad timur...","Kecelakaan",1
"Fri Jun 27 02:11:43 +0000 2025","selamat pagi, izin menyampaikan aja yaa min untuk dishub atau llaj bahwasannya lampu apill perempatan brimob timoho...","Infrastruktur",0
"Fri Jun 27 01:44:22 +0000 2025","Menginformasikan pukul 07.45 Wib laka tunggal R4 masuk jurang di jln wates KM 13 argosari sedayu...","Kecelakaan",1
"Fri Jun 27 00:43:45 +0000 2025",""" TOPO BISU ""\n\nMubeng Beteng Karaton Ngayogyakarta Hadiningrat...","Budaya",0
"Fri Jun 27 00:38:06 +0000 2025","Malam 1 Suro Tahun ini Bertepatan dengan Malam Jumat Kliwon...","Budaya",0
"Fri Jun 27 00:25:12 +0000 2025","Izin melaporkan min, keadaan jln kayen raya selama kurleb 1 tahunan ini makin memprihatinkan...","Infrastruktur",0
"Thu Jun 26 19:18:58 +0000 2025","Fomo ikut Mubeng Beteng tapi penasaran story dibalik tradisi ini?...","Budaya",0
"Thu Jun 26 19:02:44 +0000 2025","[Breaking News] 01:54 Maling Hp dan uang di kurahan Margodadi seyegan tertangkap...","Kriminal",0
"Thu Jun 26 18:47:10 +0000 2025","Hajad Dalem Mubeng Beteng untuk Mangayubagya Warsa Enggal...","Budaya",0
"Thu Jun 26 18:24:47 +0000 2025","pantauan hybrid.. cctv malam ini...","Etc",0
"Thu Jun 26 18:14:53 +0000 2025","Mubeng Beteng, atau yang sering disebut Topo Bisu Lampah Mubeng Beteng...","Budaya",0
"Thu Jun 26 17:51:12 +0000 2025","[Breaking News] terjadi kecelakaan andong ketabrak mobil didepan rskia bunda jam sekitar 00.35...","Kecelakaan",1
"Thu Jun 26 17:46:44 +0000 2025","[Breaking News] 00:39 Jalan Parangtritis macet, dari Jembatan Utara TPR sampai pesisir pantai...","Kecelakaan",1
"Thu Jun 26 17:40:28 +0000 2025","00:37 suasana Alun alun utara Kraton Yogyakarta, dipadati warga yang ikut mubeng Beteng...","Budaya",0
"Thu Jun 26 17:35:37 +0000 2025","[Breaking News] Ribuan Masyarakat Ikuti Hajad Kawula Dalem Mubeng Beteng Malam 1 Suro...","Budaya",0
"Thu Jun 26 17:29:28 +0000 2025","Hajad Kawula Dalem Mubeng Beteng dalam rangka memperingati Tahun Baru Jawa Dal 1959...","Budaya",0
"Thu Jun 26 16:49:33 +0000 2025","[Foto] suasana depan titik star mubeng Beteng sudah penuh sesak...","Budaya",0
"Thu Jun 26 16:49:05 +0000 2025","Suasana di Kagungan Dalem Bangsal Pancaniti Kraton Ngayogyakarta Hadiningrat...","Budaya",0
"Thu Jun 26 16:44:48 +0000 2025","Suasana pantai Samas Bantul Malam ini...","Wisata",0
"Thu Jun 26 16:43:10 +0000 2025","situasi terkini jalan mayjend sutoyo kirab mubeng beteng 23:25...","Budaya",0
"Thu Jun 26 16:35:27 +0000 2025","LIVE REPORT MUBENG BENTENG\n\nSatlantas Polresta Yogyakarta melaksanakan pengamanan...","Budaya",0
"Thu Jun 26 16:01:29 +0000 2025","22:58 Mohon bantu share lur, buat temen2 yang malam ini mau ke arah Gunungkidul...","Infrastruktur",0
"Thu Jun 26 15:29:11 +0000 2025","22:25 TPR Parangtritis terpantau ramai kendaraan malam ini...","Etc",0
"Thu Jun 26 15:17:06 +0000 2025","[Video] Sedekah gunung merapi boyolali...","Budaya",0
"Thu Jun 26 14:05:59 +0000 2025","Sesekali kalau kalian butuh Recharger Energy dateng aja ke pasar Bringharjo...","Budaya",0
"Thu Jun 26 13:34:02 +0000 2025","Min kejadian lagi di Pakuwon mall.. parkir ga bener menghabiskan tempat parkir...","Etc",0
"Thu Jun 26 13:27:21 +0000 2025","Malem 1 suro malem Jumat Kliwon...","Budaya",0
"Thu Jun 26 12:56:39 +0000 2025","Malam 1 Suro bukan malam biasa. Di Gunungkidul, suasananya beda...","Budaya",0
"Thu Jun 26 12:04:52 +0000 2025","Seorang bapak warga Panggang, Gunungkidul, telah mencabuli anak kandungnya sendiri...","Kriminal",0
"Thu Jun 26 11:16:57 +0000 2025","Motor tertinggal...","Kehilangan",0
"Thu Jun 26 11:14:34 +0000 2025","Mohon maaf admin\n\nMohon akun ini di sensor\n\nIzin menginfokan...","Kriminal",0
"Thu Jun 26 10:43:01 +0000 2025","[Breaking News] Kereta KRL Jogja solo mengalami kerusakan di stasiun delanggu...","Kecelakaan",1
"Thu Jun 26 11:00:01 +0000 2025","✨️✨️Sore hari kota Jogja emang buat candu...","Wisata",0
"Thu Jun 26 10:18:40 +0000 2025","Kirab Budaya Ngarak Siwur ,2025...","Budaya",0
"Thu Jun 26 09:57:50 +0000 2025","[Breaking News] 16:45 terjadi laka antara mobil dengan mobil box sore ini di dekat ISI jalan Parangtritis Yogyakarta...","Kecelakaan",1
"Thu Jun 26 09:57:27 +0000 2025","Asal Mula dan Pendirian:\n\nAbad ke-9 Masehi: Candi Sojiwan diperkirakan dibangun...","Budaya",0
"Thu Jun 26 09:18:22 +0000 2025","Dari pagi sampai sore simbah jasa gendong di pasar Bringharjo...","Budaya",0
"Thu Jun 26 08:53:29 +0000 2025","Mbah Burger kembali😍...","Etc",0
"Thu Jun 26 08:12:49 +0000 2025","Kejaksaan Negeri Sleman melaksanakan pemusnahan barang bukti...","Kriminal",0
"Thu Jun 26 07:37:58 +0000 2025","AWAS BAHAYA LOVE SCAMMING DAN PENIPUAN MENGHAPUS UTANG PINJOL...","Kriminal",0
"Thu Jun 26 03:51:13 +0000 2025","Jajaran Satreskoba Polres Gunungkidul, berhasil mengamankan setidaknya ada 285 botol miras...","Kriminal",0
"Thu Jun 26 03:34:24 +0000 2025","🌊 Tahukah kamu?\n\nMembuang sampah ke sungai bukan hanya merusak lingkungan...","Infrastruktur",0
"Thu Jun 26 03:30:32 +0000 2025","Ada lubang min, membahayakan motor di daerah pertigaan bibis ambarketawang Gamping Sleman...","Infrastruktur",0
"Thu Jun 26 03:22:24 +0000 2025","Kecanduan Judi Online, Penjambret yang Beraksi 8 kali ini Dibekuk Polisi...","Kriminal",0
"Thu Jun 26 01:55:20 +0000 2025","Jumbo emang se-Jumbo itu ya...","Etc",0
"Thu Jun 26 01:47:33 +0000 2025","Lapor min, Hari ini kamis 26 juni nyari parkiran di YIA susah malah liat orang Parkir kayak gitu...","Etc",0
"Thu Jun 26 01:24:32 +0000 2025","""1 Suro dan Jumat Kliwon baru akan bersamaan menunggu 8 tahun lagi...","Budaya",0
"Thu Jun 26 01:02:36 +0000 2025","""Menelusuri asrinya desa di sekitar Candi Plaosan dengan sepeda...","Wisata",0
"Thu Jun 26 01:00:09 +0000 2025","""Mount Merapi is a volcano in Indonesia...","Wisata",0
"Thu Jun 26 00:05:03 +0000 2025","halo min, minta tolong di up buat pengendara yg lewat jalan godean, ada kabel melintang...","Infrastruktur",0
"Wed Jun 25 23:46:24 +0000 2025","📍Perempatan Pelem Gurih, Ring Road Barat, Gamping, Kab. Sleman...","Etc",0
"Wed Jun 25 23:43:18 +0000 2025","Libur sekolah, kota jogja mulai dipadati wisatawan...","Wisata",0
"Wed Jun 25 23:43:08 +0000 2025","[KABAR NPCI DIY 2025 - Resmi Diluncurkan! Logo, Maskot, dan Jingle PEPARDA IV DIY 2025...","Promosi",0
"Wed Jun 25 23:34:53 +0000 2025","RT @sansirofisipol: lampu merah jalan Persatuan dari arah utara ke selatan udah mati semingguan...","Infrastruktur",0
"Wed Jun 25 17:22:23 +0000 2025","Pukul 23:34 ada ramai ramai di Jalan Kaliurang KM 6... tonjok tonjokan...","Kriminal",0
"Wed Jun 25 16:42:33 +0000 2025","Saatnya mengeluarkan kata kata\n\nTulung nek koncomu mbuh Lanang opo wedok ketok lesu...","Etc",0
"Wed Jun 25 16:09:00 +0000 2025","Min tolong di infokan info untuk warga sekitar donoharjo ngaglik sleman...","Pelecehan",0
"Wed Jun 25 15:15:49 +0000 2025","Polda DIY Ungkap Hasil KRYD Penanganan Miras Ilegal, 36 Tersangka Diamankan...","Kriminal",0
"Wed Jun 25 14:41:36 +0000 2025","""Candi Plaosan tak hanya memancarkan keagungan sejarah...","Wisata",0
"Wed Jun 25 14:26:41 +0000 2025","Jembatan janti arah blok o macet, ada laka truck terguling...","Kecelakaan",1
"Wed Jun 25 13:59:03 +0000 2025","[Breaking News] 20:56 Situasi jln malioboro macet poll lur...","Kecelakaan",1
"Wed Jun 25 13:30:18 +0000 2025","[Breaking News] lagi wae truck terguling nganggut sembako (minyak goreng)...","Kecelakaan",1
"Wed Jun 25 13:23:39 +0000 2025","Min tolong di loloskan untuk pemebelajaran, kmrn malam 24/06/2025...","Kecelakaan",1
"Wed Jun 25 13:13:19 +0000 2025","Laku Tapa Brata abdi dalem hargo merapi...","Budaya",0
"Wed Jun 25 12:49:17 +0000 2025","🚨Breaking‼️. Proses evakuasi juliana marins pendaki asal Brazil...","Kecelakaan",1
"Wed Jun 25 12:48:26 +0000 2025","RT @nabilaamayy_: ‼️BARANG HILANG‼️...","Kehilangan",0
"Wed Jun 25 12:47:16 +0000 2025","Halo min , adakah disini yg pernah ikut acara lampah ratri pura pakualaman?...","Budaya",0
"Wed Jun 25 12:44:30 +0000 2025","🌾🔥 *FesDolPan 2025 – Serunya Dolanan Tradisional & Panen Brambang!*...","Promosi",0
"Wed Jun 25 12:22:23 +0000 2025","Izin cerita min. Tadi sebelum Maghrib, ada kecelakaan di depan kos saya daerah Pandowoharjo,Sleman...","Kecelakaan",1
